DATE,CPIAUCSL,CPI_Change
2010-01-01,217.488,
2010-02-01,217.281,
2010-03-01,217.353,
2010-04-01,217.403,-0.039082616052388275
2010-05-01,217.29,0.0041421017023868245
2010-06-01,217.199,-0.07085248420771739
2010-07-01,217.605,0.09291500117294405
2010-08-01,217.923,0.2913157531409638
2010-09-01,218.275,0.49539822927360255
2010-10-01,219.035,0.6571540176006918
2010-11-01,219.59,0.764949087521738
2010-12-01,220.472,1.0065284618027803
2011-01-01,221.187,0.9824913826557369
2011-02-01,221.898,1.0510496835010708
2011-03-01,223.046,1.1674951921332388
2011-04-01,224.093,1.3138204324847136
2011-05-01,224.806,1.3105120370620726
2011-06-01,224.806,0.7890748993481189
2011-07-01,225.395,0.5810087776057404
2011-08-01,226.106,0.5782763805236346
2011-09-01,226.597,0.7966869211675887
2011-10-01,226.75,0.601166840435674
2011-11-01,227.169,0.4701334772186483
2011-12-01,227.223,0.276261380336007
2012-01-01,227.842,0.48158765159869166
2012-02-01,228.329,0.5106330529253578
2012-03-01,228.807,0.6971125282211554
2012-04-01,229.187,0.5903213630498394
2012-05-01,228.713,0.16817837418812154
2012-06-01,228.524,-0.12368502711892493
2012-07-01,228.59,-0.26048597869862133
2012-08-01,229.918,0.5268611753595165
2012-09-01,231.015,1.0900386830267284
2012-10-01,231.638,1.3333916619274744
2012-11-01,231.249,0.5789020433371928
2012-12-01,231.221,0.08917169880744424
2013-01-01,231.679,0.01770003194638825
2013-02-01,232.937,0.7299491024826077
2013-03-01,232.282,0.45886835538295756
2013-04-01,231.797,0.050932540282033756
2013-05-01,231.893,-0.4481898539089979
2013-06-01,232.445,0.07017332380467867
2013-07-01,232.9,0.47584740095860667
2013-08-01,233.456,0.674017758190204
2013-09-01,233.544,0.4728000172083746
2013-10-01,233.669,0.3301846285959753
2013-11-01,234.1,0.2758549790967013
2013-12-01,234.719,0.5031171856266781
2014-01-01,235.288,0.6928604136620553
2014-02-01,235.547,0.6181119179837768
2014-03-01,236.028,0.5576881292098212
2014-04-01,236.468,0.5015130393390077
2014-05-01,236.918,0.5820494423618205
2014-06-01,237.231,0.509685291575579
2014-07-01,237.498,0.4355769068119075
2014-08-01,237.46,0.2287711360048572
2014-09-01,237.477,0.10369639718250667
2014-10-01,237.43,-0.028631820057423152
2014-11-01,236.983,-0.20087593699992246
2014-12-01,236.252,-0.5158394286604584
2015-01-01,234.747,-1.1300172682474852
2015-02-01,235.342,-0.6924547330399156
2015-03-01,235.976,-0.1168244078357028
2015-04-01,236.222,0.6283360383732228
2015-05-01,237.001,0.7049315464302985
2015-06-01,237.657,0.7123605790419374
2015-07-01,238.034,0.7670750395813997
2015-08-01,238.033,0.4354412006700281
2015-09-01,237.498,-0.06690314192303592
2015-10-01,237.733,-0.12645252358906012
2015-11-01,238.017,-0.0067217570672961635
2015-12-01,237.761,0.11073777463388446
2016-01-01,237.652,-0.03407183689265736
2016-02-01,237.336,-0.28611401706599704
2016-03-01,238.08,0.13416834552344437
2016-04-01,238.992,0.563849662531779
2016-05-01,239.557,0.9358040920888433
2016-06-01,240.222,0.8996975806451646
2016-07-01,240.101,0.46403226886255755
2016-08-01,240.545,0.4124279399057462
2016-09-01,241.176,0.39713265229661676
2016-10-01,241.741,0.6830458848567922
2016-11-01,242.026,0.6156852148246683
2016-12-01,242.637,0.6057816698179064
2017-01-01,243.618,0.7764508296068895
2017-02-01,244.006,0.818093923793306
2017-03-01,243.892,0.5172335628943703
2017-04-01,244.193,0.23602525264965202
2017-05-01,244.004,-0.0008196519757697196
2017-06-01,244.163,0.11111475571154994
2017-07-01,244.243,0.02047560740887633
2017-08-01,245.183,0.4831888001836093
2017-09-01,246.435,0.930525919160563
2017-10-01,246.626,0.9756676752250781
2017-11-01,247.284,0.8569109603846936
2017-12-01,247.805,0.5559275265282881
2018-01-01,248.859,0.9054195421407396
2018-02-01,249.529,0.9078630238915641
2018-03-01,249.577,0.7150783882488243
2018-04-01,250.227,0.5497088712885567
2018-05-01,250.792,0.5061535933699179
2018-06-01,251.018,0.5773769217516156
2018-07-01,251.214,0.39444184680310634
2018-08-01,251.663,0.34729975437812755
2018-09-01,252.182,0.4637117656901113
2018-10-01,252.772,0.6201883652981133
2018-11-01,252.594,0.3699391646765582
2018-12-01,252.767,0.23197531941216987
2019-01-01,252.561,-0.08347443545961841
2019-02-01,253.319,0.2870218611685127
2019-03-01,254.277,0.5973881084160526
2019-04-01,255.233,1.0579622348660278
2019-05-01,255.296,0.7804388932531658
2019-06-01,255.213,0.3681025023891227
2019-07-01,255.802,0.22293355483029575
2019-08-01,256.036,0.2898596139383258
2019-09-01,256.43,0.4768565864591512
2019-10-01,257.155,0.5289247152094223
2019-11-01,257.879,0.7198206502210702
2019-12-01,258.63,0.8579339390866858
2020-01-01,258.906,0.6809122902529774
2020-02-01,259.246,0.530093571015855
2020-03-01,258.15,-0.1855933186405312
2020-04-01,256.126,-1.0737487736862117
2020-05-01,255.848,-1.3107241770364708
2020-06-01,257.004,-0.4439279488669179
2020-07-01,258.408,0.8909677268219784
2020-08-01,259.366,1.3750351771364189
2020-09-01,259.951,1.1466747599259142
2020-10-01,260.249,0.7124392433670801
2020-11-01,260.895,0.5895144313441181
2020-12-01,262.005,0.7901489126796779
2021-01-01,262.518,0.8718573366276017
2021-02-01,263.583,1.0302995457942998
2021-03-01,264.91,1.1087574664605748
2021-04-01,266.752,1.6128417860870714
2021-05-01,268.452,1.8472359750059564
2021-06-01,270.664,2.1720584349401495
2021-07-01,271.994,1.9651211612284225
